Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
80,20192,33865,0.403750184556,3558,5173,0.312197950899,1679,1105,0.519457013575,3630,4346,0.164749194662,2599,1586,0.638713745271,185,1920,0.903645833333,9352,949,8.85458377239,0.566545439686172,48944,48944,48944,56.129817444219064,41195,0,0.4655116050997058
81,20246,33939,0.403459147294,3614,5183,0.302720432182,1707,1108,0.540613718412,3688,4390,0.159908883827,2649,1596,0.65977443609,191,1959,0.902501276161,9342,968,8.65082644628,0.5648413812750545,49143,49143,49143,56.62068965517241,41437,0,0.4659463199234886
82,20299,34014,0.403216322691,3673,5194,0.292837889873,1738,1111,0.564356435644,3773,4434,0.149075327018,2690,1606,0.67496886675,195,1999,0.902451225613,9331,988,8.44433198381,0.5624569367324606,49346,49346,49346,57.15243902439025,41699,0,0.46779880841405586
83,20357,34088,0.402810373152,3745,5204,0.280361260569,1777,1114,0.595152603232,3841,4477,0.142059414787,2722,1615,0.685448916409,199,2038,0.902355250245,9324,1007,8.2591857001,0.5601598611307349,49543,49543,49543,57.69308943089431,41965,0,0.4695718870476152
84,20419,34163,0.402306589,3808,5214,0.269658611431,1811,1116,0.622759856631,3903,4521,0.136695421367,2759,1625,0.697846153846,207,2077,0.900337024555,9311,1026,8.07504873294,0.5579188613244341,49742,49742,49742,58.207317073170735,42218,0,0.4706887539704877
85,20470,34237,0.402108829629,3868,5225,0.25971291866,1835,1119,0.639857015192,3966,4564,0.131025416301,2806,1634,0.717258261934,211,2116,0.900283553875,9304,1046,7.8948374761,0.5561162171362207,49941,49941,49941,58.69918699186992,42460,0,0.4721571454316093
86,20529,34312,0.40169619958,3925,5235,0.250238777459,1865,1122,0.662210338681,4022,4608,0.127170138889,2846,1644,0.731143552311,218,2155,0.898839907193,9296,1065,7.72863849765,0.55427693903193,50141,50141,50141,59.18864097363083,42701,0,0.47314572904409563
87,20564,34386,0.401965916361,3982,5245,0.240800762631,1887,1124,0.678825622776,4086,4651,0.121479251774,2896,1654,0.750906892382,224,2195,0.897949886105,9282,1085,7.55483870968,0.5527016289233214,50340,50340,50340,59.63488843813387,42921,0,0.47467222884386173
88,20622,34460,0.401567034243,4041,5256,0.231164383562,1926,1127,0.708961845608,4143,4695,0.117571884984,2932,1663,0.763078773301,227,2234,0.898388540734,9276,1104,7.40217391304,0.5510991511505966,50539,50539,50539,60.13387423935091,43167,0,0.47594926690278794
89,20676,34535,0.401303025916,4098,5266,0.221800227877,1957,1130,0.73185840708,4207,4739,0.112259970458,2971,1673,0.775851763299,232,2273,0.89793224813,9269,1123,7.25378450579,0.549301326395869,50739,50739,50739,60.62677484787018,43410,0,0.4772265909852382
90,20746,34609,0.400560547834,4160,5276,0.211523881729,1955,1133,0.725507502207,4282,4782,0.104558762024,3006,1682,0.787158145065,236,2312,0.897923875433,9262,1143,7.10323709536,0.5461648703300155,50937,50937,50937,61.123831775700936,43647,0,0.4779826059642303
91,20798,34684,0.400357513551,4225,5287,0.200870058634,1954,1135,0.721585903084,4336,4826,0.101533360961,3048,1692,0.801418439716,246,2351,0.895363675032,9248,1162,6.9586919105,0.5437159004243503,51137,51137,51137,61.60981308411215,43855,0,0.4790269276649002
92,20843,34758,0.400339490189,4288,5297,0.190485180291,1954,1138,0.71704745167,4396,4869,0.0971452043541,3089,1702,0.814923619271,252,2391,0.89460476788,9240,1181,6.82387806943,0.5414913510986442,51336,51336,51336,62.094339622641506,44062,0,0.4805399719495091
93,20898,34833,0.400051675136,4351,5307,0.180139438477,1953,1141,0.711656441718,4445,4913,0.0952574801547,3130,1711,0.829339567504,256,2430,0.894650205761,9232,1201,6.68692756037,0.5393317292766222,51536,51536,51536,62.573113207547166,44265,0,0.4816050915864638
94,20961,34907,0.399518721173,4416,5318,0.169612636329,1951,1143,0.706911636045,4508,4957,0.0905789792213,3149,1721,0.829750145264,261,2469,0.894289185905,9224,1220,6.5606557377,0.5362907122837537,51735,51735,51735,63.05620608899297,44470,0,0.4823427080313134
95,21002,34982,0.399634097536,4487,5328,0.157845345345,1948,1146,0.69982547993,4557,5000,0.0886,3194,1731,0.845176198729,266,2508,0.893939393939,9216,1240,6.43225806452,0.5342639838259363,51935,51935,51935,63.52459016393443,44670,0,0.48381630884759796
96,21052,35154,0.401149229106,4570,5338,0.143874110154,1946,1149,0.69364664926,4624,5044,0.0832672482157,3236,1740,0.859770114943,270,2547,0.893992932862,9201,1259,6.30818109611,0.5322892535084528,52231,52231,52231,64.1003861003861,44899,0,0.4846164155386648
97,21094,35325,0.402859164897,4630,5349,0.134417648159,1943,1151,0.68809730669,4688,5087,0.0784352270493,3264,1750,0.865142857143,273,2587,0.894472361809,9387,1278,6.34507042254,0.5345441392045995,52527,52527,52527,65.56976744186046,45279,0,0.48654977440173625
98,21158,35497,0.403949629546,4693,5359,0.124276917335,1940,1154,0.681109185442,4736,5131,0.0769830442409,3298,1759,0.874928936896,278,2626,0.894135567403,9373,1298,6.22110939908,0.5328638497652582,52824,52824,52824,66.33204633204633,45476,0,0.4844578222020294
99,21205,35669,0.405506181839,4766,5369,0.112311417396,1936,1157,0.673292999136,4822,5175,0.0682125603865,3336,1769,0.885811192764,286,2665,0.892682926829,9364,1317,6.11009870919,0.5307129007360554,53121,53121,53121,67.2578125,45715,0,0.4836505336872423
100,21260,35841,0.406824586368,4825,5380,0.103159851301,1934,1160,0.66724137931,4894,5218,0.0620927558452,3373,1779,0.896008993817,290,2704,0.89275147929,9355,1336,6.00224550898,0.5290538769703096,53418,53418,53418,68.1,45931,0,0.4823280542139354
101,21317,36013,0.408074861855,4892,5390,0.0923933209647,1933,1162,0.663511187608,4958,5262,0.0577727099962,3418,1788,0.91163310962,292,2743,0.893547211083,9344,1356,5.89085545723,0.5275719551699743,53714,53714,53714,68.95769230769231,46154,0,0.4810850057713073
